else,else,98.11,98.36
in,in,98.36,98.47
nature,nature,98.47,99.06
when,when,99.44,99.75
things,things,99.77,100.18
get,get,100.179999,100.349999
a,a,100.349999,100.429999
little,little,100.44,100.81
too,too,100.86,101.12
tight,tight,101.12,101.78
the,the,101.889999,102.099999
signal,signal,102.099999,102.609999
is,is,102.61,102.78
enhanced,enhanced,102.78,103.74
causing,causing,104.15,104.75
the,the,104.75,104.84
cancer,cancer,104.839999,105.249999
cells,cells,105.25,105.64
to,to,105.639999,105.789999
move,move,105.79,106.05
away,away,106.049999,106.319999
faster,faster,106.32,107.09
from,from,107.109999,107.319999
the,the,107.32,107.41
primary,primary,107.41,107.92
site,site,107.92,108.41
and,and,108.7,108.92
spread,spread,108.92,109.54
to,to,109.64,109.82
a,a,109.82,109.89
new,new,109.89,110.21
site,site,110.21,110.97
So,so,111.77,112.27
if,if,112.81,113.01
we,we,113.01,113.14
block,block,113.14,113.57
this,this,113.6,113.79
signal,signal,113.79,114.44
using,using,114.67,115.17
a,a,115.17,115.22
drug,drug,115.22,115.51
cocktail,cocktail,115.51,116.03
that,that,116.03,116.21
we,we,116.21,116.42
developed,developed,116.42,117.09
we,we,117.46,117.67
can,can,117.67,117.88
stop,stop,117.88,118.26
the,the,118.26,118.38
communication,communication,118.38,119.38
between,between,119.389999,119.809999
cancer,cancer,119.809999,120.239999
cells,cells,120.24,120.79
and,and,121.16,121.41
slow,slow,121.41,121.85
down,down,121.849999,122.359999
the,the,122.48,122.62
spread,spread,122.62,123.02
of,of,123.08,123.25
cancer,cancer,123.25,123.79
Let,let,125.09,125.28
me,me,125.279999,125.409999
pause,pause,125.41,125.75
here,here,125.76,125.97
for,for,125.98,126.12
a,a,126.119999,126.209999
second,second,126.209999,126.739999
and,and,126.85,127.06
take,take,127.06,127.38
you,you,127.38,127.53
back,back,127.53,127.96
to,to,128.02,128.17
when,when,128.17,128.37
this,this,128.37,128.58
all,all,128.59,128.91
began,began,128.92,129.35
for,for,129.35,129.48
me,me,129.48,129.8
in,in,129.82,130.02
2010,<unk>,130.02,130.03
when,when,131.66,131.9
I,i,131.9,132.1
was,was,132.1,132.37
just,just,132.38,132.8
a,a,132.81,132.91
sophomore,sophomore,132.91,133.51
in,in,133.51,133.66
college,college,133.66,134.37
I,i,134.88,135.15
had,had,135.15,135.39
just,just,135.389999,135.599999
started,started,135.599999,136.009999
working,working,136.01,136.56
in,in,136.61,136.81
Dr,dr,136.809999,137.129999
Danny,danny,137.13,137.48
Wirtz's,<unk>,137.48,137.9
lab,lab,137.92,138.3
at,at,138.37,138.55
Johns,johns,138.55,138.92
Hopkins,hopkins,138.92,139.41
University,university,139.41,140.29
And,and,140.9,141.11
I'll,i'll,141.11,141.25
be,be,141.25,141.41
honest,honest,141.41,141.98
I,i,142.369999,142.849999
was,was,143,143.6
a,a,143.809999,143.869999
young,young,143.869999,144.359999
naive,naive,144.59,145.25
Sri,sri,145.309999,145.539999
Lankan,<unk>,145.729999,145.919999
girl,girl,145.929999,145.989999
Laughter,laughter,145.989999,146.159999
who,who,146.88,147.16
had,had,147.16,147.69
no,no,148.1,148.58
previous,previous,148.62,149.17
research,research,149.17,149.64
experience,experience,149.64,150.55
And,and,151.1,151.3
I,i,151.32,151.57
was,was,151.57,151.8
tasked,<unk>,151.81,152.18
to,to,152.179999,152.209999
look,look,152.21,152.43
at,at,152.429999,152.679999
how,how,152.69,153.08
cancer,cancer,153.08,153.55
cells,cells,153.55,153.93
move,move,153.929999,154.369999
in,in,154.679999,154.869999
a,a,154.87,154.95
3D,<unk>,154.969999,155.499999
collagen,collagen,155.949999,156.089999
I,i,156.33,156.34
matrix,matrix,156.349999,157.059999
that,that,157.389999,157.619999
recapsulated,<unk>,158.059999,158.539999
in,in,158.57,158.77
a,a,158.77,158.86
dish,dish,158.86,159.38
the,the,159.82,159.97
conditions,conditions,159.969999,160.689999
that,that,160.690001,160.970001
cancer,cancer,161.1,161.49
cells,cells,161.49,161.86
are,are,161.859999,162.019999
exposed,exposed,162.04,162.6
to,to,162.6,162.85
in,in,162.88,163.06
our,our,163.06,163.19
bodies,bodies,163.19,163.82
This,this,164.63,164.97
was,was,164.97,165.15
new,new,165.15,165.33
and,and,165.33,165.46
exciting,exciting,165.46,166.02
for,for,166.02,166.14
me,me,166.14,166.45
because,because,166.5,166.84
previous,previous,166.84,167.42
work,work,167.42,167.77
had,had,167.77,168.02
been,been,168.02,168.26
done,done,168.26,168.69
on,on,168.72,168.96
2D,<unk>,169.13,169.54
flat,flat,169.55,169.9
plastic,plastic,169.91,170.46
dishes,dishes,170.46,171.03
that,that,171.5,171.77
really,really,171.78,172.28
weren't,weren't,172.28,172.59
representative,representative,172.62,173.88
of,of,174.12,174.38
what,what,174.38,174.7
the,the,174.719999,174.829999
cancer,cancer,174.83,175.25
cells,cells,175.25,175.73
are,are,175.78,175.95
exposed,exposed,175.95,176.47
to,to,176.469999,176.559999
in,in,176.559999,176.709999
our,our,176.71,176.85
bodies,bodies,176.849999,177.409999
Because,because,178.209999,178.899999
let's,let's,179.379999,179.659999
face,face,179.66,179.97
it,it,179.99,180.26
the,the,180.53,180.68
cancer,cancer,180.68,181.09
cells,cells,181.09,181.42
in,in,181.45,181.63
our,our,181.63,181.77
bodies,bodies,181.77,182.33
aren't,aren't,182.4,182.75
stuck,stuck,182.75,183.12
onto,onto,183.13,183.48
plastic,plastic,183.48,183.94
dishes,dishes,183.94,184.51
It,it,185.58,185.73
was,was,185.73,185.94
during,during,185.94,186.28
this,this,186.28,186.48
time,time,186.49,186.99
that,that,187.08,187.27
I,i,187.27,187.38
attended,attended,187.38,188.03
a,a,188.09,188.19
seminar,seminar,188.19,188.83
conducted,conducted,188.83,189.5
by,by,189.5,189.66
Dr,dr,189.66,190.05
Bonnie,bonnie,190.05,190.37
Bassler,<unk>,190.92,190.93
from,from,190.94,191.15
Princeton,princeton,191.15,191.59
University,university,191.59,192.42
where,where,192.9,193.18
she,she,193.179999,193.399999
talked,talked,193.4,193.77
about,about,193.77,194.18
how,how,194.19,194.44
bacteria,bacteria,194.45,195.21
cells,cells,195.21,195.68
communicate,communicate,195.719999,196.459999
with,with,196.459999,196.639999
each,each,196.639999,196.839999
other,other,196.84,197.23
based,based,197.58,197.97
on,on,197.969999,198.129999
their,their,198.129999,198.299999
population,population,198.31,199.13
density,density,199.13,199.79
and,and,199.88,200.09
perform,perform,200.09,200.54
a,a,200.55,200.64
specific,specific,200.64,201.23
action,action,201.23,201.81
It,it,202.78,202.96
was,was,202.96,203.12
at,at,203.15,203.4
this,this,203.4,203.67
moment,moment,203.67,204.28
that,that,204.33,204.51
a,a,204.51,204.57
light,light,204.57,204.88
bulb,bulb,204.88,205.12
went,went,205.13,205.36
off,off,205.36,205.55
in,in,205.55,205.67
my,my,205.67,205.83
